categoria,codigo_de_vehiculo,tipo_transaccion,marca,modelo,pais,ano_modelo,clase,sub_clase,tipo,avaluo,fecha_proceso,tipo_servicio,cilindraje,tipo_combustible,fecha_compra,canton,color_1,color_2,persona_natural__juridica,provincia
104512,10437470,COMPRA LOCAL,DFSK,E5 PLUS PHEV AC 1.5 5P 4X2 TA HYBRID,CHINA POPULAR,2026,JEEP,HIBRIDO-J,LIVIANO,29990.0,2025-12-18,PAR,1499,HIBRIDO_GASOLINA_BATERIAS,2025-12-18,QUITO,AZU,AZU,NATURAL,QUITO
104512,10437467,COMPRA LOCAL,DFSK,E5 PLUS PHEV AC 1.5 5P 4X2 TA HYBRID,CHINA POPULAR,2026,JEEP,HIBRIDO-J,LIVIANO,29990.0,2025-12-17,PAR,1499,HIBRIDO_GASOLINA_BATERIAS,2025-12-17,QUITO,AZU,AZU,NATURAL,QUITO
104512,10437422,COMPRA LOCAL,DFSK,E5 PLUS PHEV AC 1.5 5P 4X2 TA HYBRID,CHINA POPULAR,2026,JEEP,HIBRIDO-J,LIVIANO,29990.0,2025-12-22,PAR,1499,HIBRIDO_GASOLINA_BATERIAS,2025-12-16,GUAYAQUIL,NEG,NEG,NATURAL,GUAYAQUIL
104512,10437428,COMPRA LOCAL,DFSK,E5 PLUS PHEV AC 1.5 5P 4X2 TA HYBRID,CHINA POPULAR,2026,JEEP,HIBRIDO-J,LIVIANO,29990.0,2025-12-17,PAR,1499,HIBRIDO_GASOLINA_BATERIAS,2025-12-16,QUITO,BLA,BLA,NATURAL,QUITO
104512,10437420,COMPRA LOCAL,DFSK,E5 PLUS PHEV AC 1.5 5P 4X2 TA HYBRID,CHINA POPULAR,2026,JEEP,HIBRIDO-J,LIVIANO,29990.0,2025-12-13,PAR,1499,HIBRIDO_GASOLINA_BATERIAS,2025-12-12,QUITO,NEG,,NATURAL,QUITO
104512,10470296,COMPRA LOCAL,RANGER,TTK250,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1928.61,2025-12-22,PAR,250,GASOLINA,2025-12-22,ZAMORA,BLA,ROJ,NATURAL,ZAMORA
104512,10470296,COMPRA LOCAL,RANGER,TTK250,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1928.61,2025-12-23,PAR,250,GASOLINA,2025-12-22,ZAMORA,BLA,ROJ,NATURAL,ZAMORA
104512,10434189,COMPRA LOCAL,RANGER,TTK250,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1928.61,2025-12-18,PAR,250,GASOLINA,2025-12-05,ZAMORA,NEG,NEG,NATURAL,ZAMORA
104512,10433448,COMPRA LOCAL,RANGER,TTK250,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1928.61,2025-12-03,PAR,250,GASOLINA,2025-11-30,LA TRONCAL,NEG,NEG,NATURAL,LA TRONCAL
104512,10433448,COMPRA LOCAL,RANGER,TTK250,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1928.61,2025-12-04,PAR,250,GASOLINA,2025-11-30,LA TRONCAL,NEG,NEG,NATURAL,LA TRONCAL
