AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|10|A|ORELLANA|ORELLANA|152139,5700|603915,3600|0,0000|0,0100|0,0000|162893,7000|411396,8500|0,0000|49248,0400|625920,6700|756054,9400
2025|10|C|AZUAY|SIGSIG|192301,0800|62644,5900|0,0000|0,0000|833,0000|156422,6500|23596,1800|0,0000|18710,3300|202193,0100|255778,6700
2025|10|G|LOS RIOS|BUENA FE|5669894,8700|13048567,9200|0,0000|231105,4400|1768490,3300|5923685,6000|10994716,3900|5497,2500|309392,5800|17559667,7300|20718058,5600
2025|10|F|PICHINCHA|CAYAMBE|1568061,9000|121826,4000|0,0000|533,3700|11231,7400|778308,1900|102910,6800|3716,4300|57034,0700|1049228,4000|1701653,4100
2025|10|A|SANTA ELENA|SANTA ELENA|316459,6700|16227873,3700|0,0000|6176,7300|45,2000|3922116,0100|10710620,1700|238314,8400|244127,2000|15407859,5700|16550554,9700
2025|10|G|COTOPAXI|LA MANA|6092692,6900|3917627,6600|0,0000|667773,1300|56791,0000|7268908,7600|3191953,2200|95933,8400|194468,4600|11357080,6700|10734884,4800
2025|10|I|LOJA|PALTAS|10006,6100|0,0000|0,0000|0,0000|0,0000|5562,4100|11408,5100|0,0000|0,0000|17206,6300|10006,6100
2025|10|R|SANTO DOMINGO DE LOS TSACHILAS|SANTO DOMINGO|250413,4100|110459,0100|0,0000|0,0000|890,0000|214061,8300|74664,3000|0,0000|49578,2900|340648,0800|361762,4200
2025|10|H|SANTO DOMINGO DE LOS TSACHILAS|SANTO DOMINGO|1896633,2800|10303338,0600|0,0000|64188,9200|1476,4000|2967713,4100|7285094,3600|237024,9200|158417,8400|10721502,0900|12265636,6600
2025|10|G|GUAYAS|DAULE|48928554,4800|22669253,9000|215,5700|3496929,8600|4675982,1500|30553844,4300|22695500,0800|10447760,6700|326067,2600|66588564,6300|79770935,9600
2025|10|A|AZUAY|CUENCA|744992,6400|4306040,1000|0,0000|15048,7500|1561901,8000|1102950,9500|2873769,5500|127170,3800|100356,2000|4208216,6500|6627983,2900
2025|10|G|LOJA|CATAMAYO|2686037,0800|1272062,3000|0,0000|298259,0200|29150,0000|2983978,6700|1922766,7600|20889,6300|37819,2900|5241140,7300|4285508,4000
2025|10|C|ESMERALDAS|QUININDE|382331,4400|2482051,2400|0,0000|0,0000|0,0000|314114,3800|1783985,4900|1179,2600|64026,3900|2164027,4100|2864382,6800
2025|10|F|TUNGURAHUA|MOCHA|209348,2900|4116,1500|0,0000|0,0000|0,0000|31878,8600|4464,8900|0,0000|8801,0000|95531,3500|213464,4400
